DATE,SYMBOL,Adj Close*,RELATIVE_CHANGE
10/13/2014,SAP,51.94,-0.146986369
10/6/2014,SAP,54.56,-0.103957957
9/29/2014,SAP,55.99,-0.080472984
9/22/2014,SAP,57.31,-0.058794548
9/15/2014,SAP,57.63,-0.053539169
9/8/2014,SAP,59.86,-0.01691575
9/1/2014,SAP,59.99,-0.014780752
8/25/2014,SAP,59.2,-0.027754968
8/18/2014,SAP,58.4,-0.040893414
8/11/2014,SAP,56.6,-0.070454919
8/4/2014,SAP,56.94,-0.064871079
7/28/2014,SAP,57.57,-0.054524552
7/21/2014,SAP,59.9,-0.016258827
7/14/2014,SAP,60.2,-0.01133191
7/7/2014,SAP,57.06,-0.062900312
6/30/2014,SAP,57.74,-0.051732633
6/23/2014,SAP,56.32,-0.075053375
6/16/2014,SAP,57.24,-0.059944162
6/9/2014,SAP,56.17,-0.077516834
6/2/2014,SAP,55.15,-0.094268353
5/26/2014,SAP,56.16,-0.077681064
5/19/2014,SAP,54.54,-0.104286418
5/12/2014,SAP,54.37,-0.107078338
5/5/2014,SAP,54.11,-0.111348333
4/28/2014,SAP,57,-0.063885696
4/21/2014,SAP,55.59,-0.087042207
4/14/2014,SAP,56.96,-0.064542618
4/7/2014,SAP,56.2,-0.077024142
3/31/2014,SAP,58.36,-0.041550337
3/24/2014,SAP,57.92,-0.048776482
3/17/2014,SAP,55.85,-0.082772212
3/10/2014,SAP,53.59,-0.119888323
3/3/2014,SAP,55.62,-0.086549516
2/24/2014,SAP,57.74,-0.051732633
2/17/2014,SAP,57.32,-0.058630317
2/10/2014,SAP,57.48,-0.056002628
2/3/2014,SAP,55.33,-0.091312202
1/27/2014,SAP,55.91,-0.081786829
1/20/2014,SAP,56.03,-0.079816062
1/13/2014,SAP,59.87,-0.016751519
1/6/2014,SAP,60.19,-0.011496141
1/1/2014,SAP,60.89,0
10/13/2014,FACEBOOK,75.95,0.392045455
10/6/2014,FACEBOOK,72.91,0.336326979
9/29/2014,FACEBOOK,77.44,0.419354839
9/22/2014,FACEBOOK,78.79,0.44409824
9/15/2014,FACEBOOK,77.91,0.427969208
9/8/2014,FACEBOOK,77.48,0.420087977
9/1/2014,FACEBOOK,77.26,0.416055718
8/25/2014,FACEBOOK,74.82,0.371334311
8/18/2014,FACEBOOK,74.57,0.366752199
8/11/2014,FACEBOOK,73.63,0.34952346
8/4/2014,FACEBOOK,73.06,0.339076246
7/28/2014,FACEBOOK,72.36,0.326246334
7/21/2014,FACEBOOK,75.19,0.378115836
7/14/2014,FACEBOOK,68.42,0.254032258
7/7/2014,FACEBOOK,66.34,0.215909091
6/30/2014,FACEBOOK,66.29,0.214992669
6/23/2014,FACEBOOK,67.6,0.239002933
6/16/2014,FACEBOOK,64.5,0.182184751
6/9/2014,FACEBOOK,64.5,0.182184751
6/2/2014,FACEBOOK,62.5,0.145527859
5/26/2014,FACEBOOK,63.3,0.160190616
5/19/2014,FACEBOOK,61.35,0.124450147
5/12/2014,FACEBOOK,58.02,0.063416422
5/5/2014,FACEBOOK,57.24,0.049120235
4/28/2014,FACEBOOK,60.46,0.10813783
4/21/2014,FACEBOOK,57.71,0.057734604
4/14/2014,FACEBOOK,58.94,0.080278592
4/7/2014,FACEBOOK,58.53,0.07276393
3/31/2014,FACEBOOK,56.75,0.040139296
3/24/2014,FACEBOOK,60.01,0.099890029
3/17/2014,FACEBOOK,67.24,0.232404692
3/10/2014,FACEBOOK,67.72,0.241202346
3/3/2014,FACEBOOK,69.8,0.279325513
2/24/2014,FACEBOOK,68.46,0.254765396
2/17/2014,FACEBOOK,68.59,0.257148094
2/10/2014,FACEBOOK,67.09,0.229655425
2/3/2014,FACEBOOK,64.32,0.17888563
1/27/2014,FACEBOOK,62.57,0.14681085
1/20/2014,FACEBOOK,54.45,-0.002016129
1/13/2014,FACEBOOK,56.3,0.031891496
1/6/2014,FACEBOOK,57.94,0.061950147
1/1/2014,FACEBOOK,54.56,0
10/13/2014,TWITTER,48.77,-0.293188406
10/6/2014,TWITTER,50.4,-0.269565217
9/29/2014,TWITTER,53.94,-0.21826087
9/22/2014,TWITTER,51.89,-0.247971014
9/15/2014,TWITTER,53,-0.231884058
9/8/2014,TWITTER,52.11,-0.244782609
9/1/2014,TWITTER,50.7,-0.265217391
8/25/2014,TWITTER,49.75,-0.278985507
8/18/2014,TWITTER,45.98,-0.333623188
8/11/2014,TWITTER,44.76,-0.351304348
8/4/2014,TWITTER,43.13,-0.374927536
7/28/2014,TWITTER,44.13,-0.360434783
7/21/2014,TWITTER,38.16,-0.446956522
7/14/2014,TWITTER,37.05,-0.463043478
7/7/2014,TWITTER,38.33,-0.444492754
6/30/2014,TWITTER,41.33,-0.401014493
6/23/2014,TWITTER,40.93,-0.406811594
6/16/2014,TWITTER,39.24,-0.431304348
6/9/2014,TWITTER,36.9,-0.465217391
6/2/2014,TWITTER,33.33,-0.516956522
5/26/2014,TWITTER,32.44,-0.529855072
5/19/2014,TWITTER,30.5,-0.557971014
5/12/2014,TWITTER,32.26,-0.532463768
5/5/2014,TWITTER,32.05,-0.535507246
4/28/2014,TWITTER,39.02,-0.434492754
4/21/2014,TWITTER,41.61,-0.396956522
4/14/2014,TWITTER,45.01,-0.347681159
4/7/2014,TWITTER,40.05,-0.419565217
3/31/2014,TWITTER,43.14,-0.374782609
3/24/2014,TWITTER,47.3,-0.314492754
3/17/2014,TWITTER,50.92,-0.262028986
3/10/2014,TWITTER,51.92,-0.247536232
3/3/2014,TWITTER,53.53,-0.224202899
2/24/2014,TWITTER,54.91,-0.204202899
2/17/2014,TWITTER,55.92,-0.189565217
2/10/2014,TWITTER,57.44,-0.167536232
2/3/2014,TWITTER,54.35,-0.212318841
1/27/2014,TWITTER,64.5,-0.065217391
1/20/2014,TWITTER,61.74,-0.105217391
1/13/2014,TWITTER,62.2,-0.098550725
1/6/2014,TWITTER,57,-0.173913043
1/1/2014,TWITTER,69,0
10/13/2014,DOW JONES,"16,380.41",-0.005438983
10/6/2014,DOW JONES,"16,544.10",0.004499699
9/29/2014,DOW JONES,"17,009.69",0.03276869
9/22/2014,DOW JONES,"17,113.15",0.039050418
9/15/2014,DOW JONES,"17,279.74",0.049165179
9/8/2014,DOW JONES,"16,987.51",0.031421998
9/1/2014,DOW JONES,"17,137.36",0.040520365
8/25/2014,DOW JONES,"17,098.45",0.038157886
8/18/2014,DOW JONES,"17,001.22",0.032254422
8/11/2014,DOW JONES,"16,662.91",0.011713425
8/4/2014,DOW JONES,"16,553.93",0.005096542
7/28/2014,DOW JONES,"16,493.37",0.001419552
7/21/2014,DOW JONES,"16,960.57",0.029786296
7/14/2014,DOW JONES,"17,100.18",0.038262925
7/7/2014,DOW JONES,"16,943.81",0.028768688
6/30/2014,DOW JONES,"17,068.26",0.036324855
6/23/2014,DOW JONES,"16,851.84",0.023184592
6/16/2014,DOW JONES,"16,947.08",0.028967231
6/9/2014,DOW JONES,"16,775.74",0.018564067
6/2/2014,DOW JONES,"16,924.28",0.027582895
5/26/2014,DOW JONES,"16,717.17",0.015007902
5/19/2014,DOW JONES,"16,606.27",0.008274443
5/12/2014,DOW JONES,"16,491.31",0.001294476
5/5/2014,DOW JONES,"16,583.34",0.006882214
4/28/2014,DOW JONES,"16,512.89",0.002604737
4/21/2014,DOW JONES,"16,361.46",-0.006589561
4/14/2014,DOW JONES,"16,408.54",-0.003731028
4/7/2014,DOW JONES,"16,026.75",-0.026911977
